### 2016-10-04 13:27:11.330614567 +0200 CEST Data Acquisition: abe 

### [Ard]; localTime(us); sensorTime(us); trackerTime(us); distance(mm); accX(g); accY(g); accZ(g); gyrX(gr/s); gyrY(gr/s); gyrZ(gr/s)

[Ard]; 2407719; 2528711216; 0; 1477; -0.982178; 0.007324; -0.016602; 1.496183; 1.946565; 0.328244
[Ard]; 2425733; 2528750736; 0; 1113; -0.970947; 0.015381; -0.014160; 1.564885; 1.251908; -0.007634
[Ard]; 2466230; 2528790256; 0; 1473; -0.986572; 0.002930; -0.014648; 1.511450; 1.984733; 0.404580
[Ard]; 2508259; 2528829776; 0; 1091; -0.986572; 0.008545; -0.021484; 1.526718; 1.824427; 0.183206
[Ard]; 2547125; 2528869296; 0; 1456; -0.985107; 0.009521; -0.008545; 1.587786; 1.587786; 0.679389
[Ard]; 2598973; 2528908816; 0; 1062; -0.988770; 0.007568; -0.018555; 1.694656; 1.595420; 0.435115
[Ard]; 2603305; 2528948336; 0; 1067; -0.979492; 0.010010; -0.017334; 1.519084; 1.816794; 0.053435
[Ard]; 2645836; 2528987856; 0; 1473; -0.987793; 0.013184; -0.016846; 1.564885; 1.824427; 0.251908
[Ard]; 2706833; 2529027376; 0; 1455; -0.979248; 0.003662; -0.013428; 1.557252; 1.572519; 0.229008
[Ard]; 2734449; 2529066896; 0; 1486; -0.987305; 0.009277; -0.010010; 1.511450; 1.763359; 0.320611
[Ard]; 2770926; 2529106416; 0; 1061; -0.976074; 0.006836; -0.017334; 1.618321; 1.656489; 0.618321
[Ard]; 3052366; 2529145936; 0; 1468; -0.982910; 0.006348; -0.026367; 1.503817; 1.725191; 0.320611
[Ard]; 3055417; 2529185456; 0; 1062; -0.981445; 0.013916; -0.014893; 1.656489; 1.679389; 0.404580
[Ard]; 3058042; 2529224976; 0; 1067; -0.982666; 0.014893; -0.022217; 1.519084; 1.786260; 0.412214
[Ard]; 3060841; 2529264496; 0; 1071; -0.979492; 0.006348; -0.016113; 1.503817; 1.816794; 0.503817
[Ard]; 3063508; 2529304016; 0; 1450; -0.984131; 0.011719; -0.018311; 1.480916; 1.702290; 0.412214
[Ard]; 3066362; 2529343536; 0; 1456; -0.984375; 0.007568; -0.010010; 1.419847; 1.824427; 0.427481
[Ard]; 3068937; 2529383056; 0; 1451; -0.978760; 0.008301; -0.018799; 1.610687; 1.755725; 0.343511
[Ard]; 3085789; 2529422576; 0; 1075; -0.990967; 0.012939; -0.024902; 1.526718; 1.671756; 0.312977
[Ard]; 3134224; 2529462096; 0; 1071; -0.982666; 0.008789; -0.026611; 1.557252; 1.824427; 0.358779
[Ard]; 3173405; 2529501616; 0; 1134; -0.982422; 0.005371; -0.022217; 1.641221; 1.679389; 0.381679
[Ard]; 3224875; 2529541144; 0; 1067; -0.979492; 0.003906; -0.021484; 1.549618; 1.725191; 0.267176
[D]; 3251868
[Ard]; 3285273; 2529580656; 0; 1519; -0.982910; 0.013672; -0.017090; 1.664122; 1.847328; 0.343511
[Ard]; 3307242; 2529620176; 0; 1071; -0.985840; 0.009521; -0.020996; 1.587786; 1.832061; 0.374046
[Ard]; 3334457; 2529659696; 0; 1062; -0.985596; 0.004395; -0.018311; 1.664122; 1.862595; 0.419847
[Ard]; 3372121; 2529699216; 0; 1066; -0.981201; 0.007812; -0.022949; 1.641221; 1.854962; 0.442748
[D]; 3392522
[Ard]; 3415349; 2529738736; 0; 1075; -0.984863; 0.010254; -0.018066; 1.549618; 1.786260; 0.374046
[Ard]; 3454559; 2529778256; 0; 1067; -0.981689; 0.011963; -0.010986; 1.778626; 1.679389; 0.290076
[Ard]; 3546151; 2529817776; 0; 1071; -0.982422; 0.002930; -0.026855; 1.541985; 1.809160; 0.396947
[Ard]; 3558856; 2529857296; 0; 1464; -0.976807; 0.007812; -0.013428; 1.633588; 1.862595; 0.473282
[Ard]; 3579992; 2529896816; 0; 1062; -0.984131; 0.011963; -0.030273; 1.748092; 1.885496; 0.526718
[Ard]; 3589074; 2529936336; 0; 1062; -0.987549; 0.007080; -0.019287; 1.671756; 1.877863; 0.396947
[D]; 3616781
[Ard]; 3633505; 2529975856; 0; 1473; -0.985596; 0.009033; -0.017822; 1.572519; 1.770992; 0.557252
[Ard]; 3673981; 2530015376; 0; 1062; -0.978516; 0.003662; -0.019775; 1.519084; 1.877863; 0.419847
[Ard]; 3724499; 2530054896; 0; 1135; -0.984619; 0.011475; -0.008545; 1.572519; 1.648855; 0.442748
[Ard]; 3765980; 2530094416; 0; 1446; -0.980957; 0.002930; -0.012451; 1.687023; 1.648855; 0.351145
[Ard]; 3795829; 2530133936; 0; 1465; -0.984375; 0.006836; -0.025146; 1.557252; 1.900763; 0.229008
[Ard]; 3836591; 2530173456; 0; 1469; -0.981934; 0.000977; -0.024170; 1.427481; 1.786260; 0.351145
[D]; 3851154
[Ard]; 3875882; 2530212976; 0; 1451; -0.988770; 0.012695; -0.010254; 1.496183; 1.748092; 0.450382
[Ard]; 3916574; 2530252496; 0; 1092; -0.986816; 0.003906; -0.016846; 1.442748; 1.694656; 0.297710
[Ard]; 3961232; 2530292016; 0; 1067; -0.984863; 0.006348; -0.017090; 1.641221; 1.923664; 0.412214
[D]; 3985123
[Ard]; 4005043; 2530331536; 0; 1477; -0.983154; 0.010742; -0.020020; 1.603053; 1.717557; 0.419847
[Ard]; 4050237; 2530371056; 0; 1061; -0.986816; 0.014160; -0.012939; 1.587786; 1.847328; 0.290076
[Ard]; 4093461; 2530410576; 0; 1067; -0.985352; 0.004639; -0.017090; 1.648855; 1.786260; 0.328244
[Ard]; 4132492; 2530450096; 0; 1464; -0.988037; 0.006348; -0.016602; 1.557252; 1.801527; 0.442748
[D]; 4136214
[Ard]; 4145572; 2530489616; 0; 1071; -0.981445; 0.012207; -0.022949; 1.618321; 1.809160; 0.374046
[Ard]; 4187338; 2530529136; 0; 1067; -0.987305; 0.005859; -0.017090; 1.648855; 1.824427; 0.335878
[Ard]; 4230990; 2530568656; 0; 1459; -0.981934; 0.006104; -0.023682; 1.763359; 1.748092; 0.396947
[Ard]; 4296205; 2530608176; 0; 1489; -0.983154; 0.009766; -0.016602; 1.648855; 2.000000; 0.458015
[Ard]; 4327097; 2530647696; 0; 1477; -0.979004; 0.016357; -0.016602; 1.549618; 1.801527; 0.290076
[Ard]; 4377063; 2530687216; 0; 1066; -0.984619; 0.006836; -0.020996; 1.526718; 1.793893; 0.381679
[D]; 4402575
[Ard]; 4448498; 2530726736; 0; 1486; -0.985840; 0.010742; -0.016846; 1.618321; 1.793893; 0.328244
